Reporting Year,Project Title,Country ,Region,Public/Private,Technology Focus,Specific Technology,CTF funding (USD millions),MDB,Lifetime,"Expected GHG reductions (lifetime, tCO2)","Expected GHG reductions (annual, tCO2/ yr.)","Expected Co-financing (total, US$m)","Expected Co-financing (MDB, US$m)","Expected Co-financing (govt., US$m)","Expected Co-financing (pvt., US$m)","Expected Co-financing (bilateral, US$m)","Expected Co-financing (others, US$m)","Expected Installed capacity (total, MW)","Expected Installed capacity (wind, MW)","Expected Installed capacity (solar, MW)","Expected Installed capacity (hydro, MW)","Expected Installed capacity (geothermal, MW)","Expected Installed capacity (mixed, MW)","Expected Additional passengers (upon implementation, passengers per day)","Expected Energy savings (annual, GWh/ yr.)","Actual Latest Year GHG reductions (annual, tCO2/ yr.)","Actual Latest Year Co-financing (total, US$m)","Actual Latest Year Co-financing (MDB, US$m)","Actual Latest Year Co-financing (govt., US$m)","Actual Latest Year Co-financing (pvt., US$m)","Actual Latest Year Co-financing (bilateral, US$m)","Actual Latest Year Co-financing (others, US$m)","Actual Latest Year Installed capacity (total, MW)","Actual Latest Year Installed capacity (wind, MW)","Actual Latest Year Installed capacity (solar, MW)","Actual Latest Year Installed capacity (hydro, MW)","Actual Latest Year Installed capacity (geothermal, MW)","Actual Latest Year Installed capacity (mixed, MW)","Actual Latest Year Additional passengers (upon implementation, passengers per day)","Actual Latest Year Energy savings (annual, GWh/ yr.)","Cumulative GHG reductions (annual, tCO2/ yr.)","Cumulative Co-financing (total, US$m)","Cumulative Co-financing (MDB, US$m)","Cumulative Co-financing (govt., US$m)","Cumulative Co-financing (pvt., US$m)","Cumulative Co-financing (bilateral, US$m)","Cumulative Co-financing (others, US$m)","Cumulative Installed capacity (total, MW)","Cumulative Installed capacity (wind, MW)","Cumulative Installed capacity (solar, MW)","Cumulative Installed capacity (hydro, MW)","Cumulative Installed capacity (geothermal, MW)","Cumulative Installed capacity (mixed, MW)","Cumulative Additional passengers (upon implementation, passengers per day)","Cumulative Energy savings (annual, GWh/ yr.)",Fund
2019,Utility Scale RE-Geothermal-Financing and Risk Transfer Program for Geothermal Power,Colombia,LAC,Public,Renewable Energy,RE-Geothermal,10.00,IDB,30,2310000,77394,190,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Renewable Energy Financing for Non-Interconnected Zones(NIZs),Colombia,LAC,Public,Energy Efficiency,EE-Smart Grid,10.50,IDB,25,1070000,42850,8.7,0,0,8.7,0,0,8.79,0,0,0,0,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Clean Energy Development Project,Colombia,LAC,Public,Renewable Energy/Energy Eficiency,Renewable Energy/Energy Eficiency,41.00,IBRD,0,17300000,740000,0,41,0,680,0,254,0,0,0,0,0,716,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Utility Scale Renewable Energy: Geothermal - Sustainable Energy Facility for the Eastern Caribbean,DPSP-Regional,LAC,Public,Renewable Energy,RE-Geothermal,20.00,IDB,30,10152000,338400,510.2,0,0,0,0,0,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Wind Power Development Project,Egypt,AFR,Public,Renewable Energy,RE-Wind,150.00,IBRD,20,28500000,820000,653.5,70,62,450,71,1,790,790,0,0,0,0,0,0,0,16.52164572,16.03166572,0,0,0,0.48998,0,0,0,0,0,0,0,0,0,45,43.67,0,0,0,0.98,0,0,0,0,0,0,0,0,CTF
2019,Modern Energy for All,Haiti,LAC,Public,Renewable Energy,RE-Mixed,16.00,IBRD,20,0,0,48,0,0,48,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Geothermal Clean Energy Investment Project,Indonesia,ASIA,Public,Renewable Energy,RE-Geothermal,125.00,IBRD,30,33000000,1100000,449.7,175,274.7,0,6.95,0,150,0,0,0,150,0,0,0,1010125,369.3,0,369.3,0,6.92,0.33,0,0,0,0,0,0,0,0,2379013,498.34,129.04,369.3,0,6.92,0,150,0,0,0,150,0,0,0,CTF
2019,Geothermal Energy Upstream Development Project,Indonesia,ASIA,Public,Renewable Energy,RE-Geothermal,49.60,IBRD,20,6540000,330000,0,0,49,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,1.54,0,0,0,0,0,0,0,0,CTF
2019,Development Policy Loan to Promote Inclusive Green Growth and Sustainable Development in Himachal Pradesh,India,ASIA,Public,Renewable Energy,RE-Hydropower,100.00,IBRD,20,72000000,3780000,2058,100,0,1958,0,0,1334,0,0,1334,0,0,0,0,470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880000,113,100,185,13,0,0,135,0,0,135,0,0,0,0,CTF
2019,Partial Risk Sharing Facility for Energy Efficiency,India,ASIA,Public,Energy Efficiency,EE-Other,25.00,IBRD,19,7336568,733657,145,0,0,127,0,18,0,0,0,0,0,0,0,1002,60300,39.04,0,0,38.56,0,0.48,0,0,0,0,0,0,0,40.45,87400,56,0,0,42.23,0,13.82,0,0,0,0,0,0,0,69.1,CTF
